wta: 49250 small taker BUY fills, 1294 markets (1s)
  ('prop', '20-40c')             ROI   +7.4%  z= +0.4  n=   93   | older +19.8% (n=24)  recent  +3.1% (n=69)
  ('prop', '40-50c')             ROI   +5.5%  z= +0.4  n=   60   | older +22.9% (n=13)  recent  +0.7% (n=47)
  ('prop', '50-60c')             ROI   -3.5%  z= -0.4  n=   61   | older -14.7% (n=13)  recent  -0.5% (n=48)
  ('prop', '60-80c')             ROI   -3.0%  z= -0.4  n=   97   | older -22.3% (n=24)  recent  +3.4% (n=73)
  ('prop', '80-95c')             ROI   +2.5%  z= +0.5  n=   62   | older  +6.6% (n=10)  recent  +1.7% (n=52)

== since-last-trade   (one obs per market-side, mean small-taker fill ROI; z clustered by event)
  ('1-5m',)                      ROI   +1.7%  z= +1.1  n= 1648   | older  +3.1% (n=865)  recent  +0.0% (n=783)
  ('5-30m',)                     ROI   -0.6%  z= -0.4  n= 1907   | older  -1.4% (n=983)  recent  +0.4% (n=924)
  ('<1m',)                       ROI   +0.5%  z= +0.4  n= 1766   | older  -0.5% (n=949)  recent  +1.7% (n=817)
  ('>30m',)                      ROI   -1.6%  z= -1.1  n= 1709   | older  -1.1% (n=878)  recent  -2.2% (n=831)

== since×time   (one obs per market-side, mean small-taker fill ROI; z clustered by event)
  ('1-5m', '0-15m')              ROI   +0.3%  z= +0.1  n=  964   | older  +0.9% (n=510)  recent  -0.3% (n=454)
  ('1-5m', '15-60m')             ROI   +2.1%  z= +0.8  n=  830   | older  +7.7% (n=436)  recent  -4.1% (n=394)
  ('1-5m', '3-6h')               ROI   -2.1%  z= -0.8  n=  714   | older  -1.1% (n=373)  recent  -3.3% (n=341)
  ('1-5m', '60-180m')            ROI   +1.2%  z= +0.5  n=  923   | older  +2.4% (n=481)  recent  -0.1% (n=442)
  ('5-30m', '0-15m')             ROI   +0.3%  z= +0.1  n=  734   | older  -8.4% (n=364)  recent  +8.8% (n=370)
  ('5-30m', '15-60m')            ROI   -1.0%  z= -0.5  n= 1067   | older  -1.1% (n=548)  recent  -0.9% (n=519)
  ('5-30m', '3-6h')              ROI   -1.4%  z= -0.7  n= 1068   | older  -2.0% (n=562)  recent  -0.8% (n=506)
  ('5-30m', '60-180m')           ROI   -0.4%  z= -0.2  n= 1322   | older  -1.5% (n=674)  recent  +0.7% (n=648)
  ('<1m', '0-15m')               ROI   -0.3%  z= -0.1  n= 1156   | older  -1.0% (n=636)  recent  +0.6% (n=520)
  ('<1m', '15-60m')              ROI   +0.3%  z= +0.1  n=  763   | older  +1.5% (n=406)  recent  -1.1% (n=357)
  ('<1m', '3-6h')                ROI   +0.8%  z= +0.3  n=  732   | older  +1.2% (n=401)  recent  +0.3% (n=331)
  ('<1m', '60-180m')             ROI   -0.2%  z= -0.1  n=  847   | older  +1.3% (n=461)  recent  -2.1% (n=386)
  ('>30m', '0-15m')              ROI   +4.2%  z= +0.7  n=  249   | older  +1.5% (n=137)  recent  +7.6% (n=112)
  ('>30m', '15-60m')             ROI   +3.3%  z= +0.8  n=  507   | older  +3.4% (n=244)  recent  +3.2% (n=263)
  ('>30m', '3-6h')               ROI   +0.4%  z= +0.1  n=  840   | older  +3.1% (n=429)  recent  -2.4% (n=411)
  ('>30m', '60-180m')            ROI   -2.3%  z= -1.0  n= 1103   | older  -0.3% (n=562)  recent  -4.4% (n=541)

== spread / depth at the fill minute (polybook top-of-book, September coverage only)
  fills with a book snapshot: 240
  ('spread', '1c')                     ROI  +11.9%  z= +0.9  n=   22

== OUR PICKS vs the cell they sit in (entry = first small taker-BUY fill of the pick's token within 60 min after the pick)
no picks file [Errno 2] No such file or directory: '/root/polysharp/data/wta_picks.json'
  side-mapping check: {'A=token0': 0, 'A=token1': 0}
  picks matched to an executable fill: 0, unmatched/unknown market: 0

done 1s
