mlb: 254972 small taker BUY fills, 3809 markets (2s)
  ('moneyline', '20-40c')        ROI   -4.6%  z= -0.6  n=  277   | older  -3.9% (n=108)  recent  -5.0% (n=169)
  ('moneyline', '40-50c')        ROI   -0.3%  z= -0.1  n= 1130   | older  -1.3% (n=594)  recent  +0.8% (n=536)
  ('moneyline', '50-60c')        ROI   -1.9%  z= -0.9  n= 1339   | older  -2.0% (n=719)  recent  -1.7% (n=620)
  ('moneyline', '60-80c')        ROI   +2.2%  z= +0.6  n=  399   | older  +2.7% (n=163)  recent  +1.8% (n=236)
  ('period', '40-50c')           ROI   -4.4%  z= -0.3  n=   44   | older  +0.0% (n=0)  recent  -4.4% (n=44)
  ('period', '50-60c')           ROI   -1.4%  z= -0.1  n=   69   | older  +0.0% (n=0)  recent  -1.4% (n=69)
  ('spread', '20-40c')           ROI  +18.0%  z= +2.0  n=  255   | older +20.5% (n=139)  recent +14.9% (n=116)
  ('spread', '40-50c')           ROI   -5.2%  z= -1.0  n=  389   | older -10.0% (n=181)  recent  -1.1% (n=208)
  ('spread', '50-60c')           ROI   +1.2%  z= +0.3  n=  386   | older  +4.3% (n=173)  recent  -1.4% (n=213)
  ('spread', '60-80c')           ROI   -3.3%  z= -0.8  n=  317   | older  -5.9% (n=169)  recent  -0.4% (n=148)
  ('total', '20-40c')            ROI  +20.9%  z= +1.6  n=  137   | older +43.9% (n=66)  recent  -0.4% (n=71)
  ('total', '40-50c')            ROI   -0.8%  z= -0.4  n= 1520   | older  +7.0% (n=636)  recent  -6.4% (n=884)
  ('total', '50-60c')            ROI   -1.9%  z= -1.4  n= 1938   | older  -5.2% (n=832)  recent  +0.6% (n=1106)
  ('total', '60-80c')            ROI  -12.2%  z= -2.3  n=  229   | older -17.1% (n=97)  recent  -8.6% (n=132)

== since-last-trade   (one obs per market-side, mean small-taker fill ROI; z clustered by event)
  ('1-5m',)                      ROI   -1.1%  z= -2.1  n= 5979   | older  -1.4% (n=2777)  recent  -0.8% (n=3202)
  ('5-30m',)                     ROI   -1.0%  z= -2.1  n= 6415   | older  -0.7% (n=2954)  recent  -1.3% (n=3461)
  ('<1m',)                       ROI   -1.0%  z= -2.0  n= 6225   | older  -0.4% (n=2843)  recent  -1.5% (n=3382)
  ('>30m',)                      ROI   -1.2%  z= -1.3  n= 4689   | older  -0.5% (n=1986)  recent  -1.7% (n=2703)

== since×time   (one obs per market-side, mean small-taker fill ROI; z clustered by event)
  ('1-5m', '0-15m')              ROI   -0.7%  z= -0.7  n= 3683   | older  -2.4% (n=1780)  recent  +0.9% (n=1903)
  ('1-5m', '15-60m')             ROI   -0.7%  z= -0.7  n= 3833   | older  -1.8% (n=1913)  recent  +0.4% (n=1920)
  ('1-5m', '3-6h')               ROI   -0.4%  z= -0.4  n= 3361   | older  -0.4% (n=1714)  recent  -0.4% (n=1647)
  ('1-5m', '60-180m')            ROI   -1.8%  z= -2.2  n= 4120   | older  -2.2% (n=2088)  recent  -1.3% (n=2032)
  ('5-30m', '0-15m')             ROI   +0.3%  z= +0.2  n= 2322   | older  -0.7% (n=987)  recent  +1.0% (n=1335)
